City ID,City,Country Code,Latitude,Longitude,Temperature,Humidity,Clouds,Wind Speed
4015700,Cananea,MX,30.95,-110.3,57.33,35,26,11.34
417594,Shahreza,IR,32.0339,51.8794,42.51,60,19,2.06
2303611,Esim,GH,4.8699,-2.2405,80.1,85,100,6.89
286621,Salalah,OM,17.0151,54.0924,71.6,37,0,2.3
5972762,Hay River,CA,60.8156,-115.7999,-5.8,77,100,5.75
3424607,Tasiilaq,GL,65.6145,-37.6368,14.09,95,100,4.38
3379316,Lethem,GY,3.3803,-59.7968,80.33,62,22,12.46
2021066,Kyakhta,RU,50.3508,106.4494,25.21,94,0,4.52
2242885,Camabatela,AO,-8.1881,15.375,60.89,98,86,0.85
3471451,Arraial do Cabo,BR,-22.9661,-42.0278,76.39,85,100,10.13
3920244,Chulumani,BO,-16.4096,-67.5263,60.89,77,25,1.16
3453060,Pontes e Lacerda,BR,-15.2261,-59.3353,71.71,83,0,2.77
3682232,Galeras,CO,9.161,-75.0481,82.15,59,64,8.57
3145614,Storforshei,NO,66.4043,14.5233,6.03,84,61,5.57
2013399,Vikhorevka,RU,56.1201,101.1636,13.89,57,100,6.71
934322,Mahébourg,MU,-20.4081,57.7,75.2,88,75,8.43
3421765,Nanortalik,GL,60.1432,-45.2371,22.96,95,30,4.29
72181,Marzuq,YE,14.4,46.4667,55.67,36,0,3.22
5386754,Redlands,US,34.0556,-117.1825,51.66,44,40,12.66
1254133,Tuensang,IN,26.2833,94.8333,66.81,62,28,1.77
3650053,Yantzaza,EC,-3.8278,-78.7594,68.22,84,100,0.87
64814,Bandarbeyla,SO,9.4942,50.8122,75.96,77,18,7.85
2510485,Tías,ES,28.9611,-13.645,62.6,51,90,19.57
5364271,Laguna,US,38.421,-121.4238,50.43,71,90,4.61
2610343,Vestmanna,FO,62.1564,-7.1664,44.6,81,90,33.38
2206874,Waipawa,NZ,-41.4122,175.5153,65.1,77,75,27.63
3013521,Hennebont,FR,47.8051,-3.2734,42.51,81,75,8.05
2173323,Bundaberg,AU,-24.85,152.35,88.43,51,40,11.5
464790,Zapolyarnyy,RU,69.4154,30.8136,5.0,78,90,10.36
5962442,Goderich,CA,43.7501,-81.7165,39.2,70,30,8.05
2109701,Auki,SB,-8.7676,160.7034,83.34,76,100,4.05
1266668,Khonsa,IN,27.0167,95.5667,67.69,59,14,0.69
3382160,Cayenne,GF,4.9333,-52.3333,79.48,83,75,4.61
1065158,Farafangana,MG,-22.8167,47.8333,75.69,76,39,2.01
2181742,Taupo,NZ,-38.6833,176.0833,66.0,76,100,1.99
3652764,Puerto Ayora,EC,-0.7393,-90.3518,80.01,89,100,1.95
2155415,New Norfolk,AU,-42.7826,147.0587,68.36,33,0,1.99
1785036,Zhangye,CN,38.9342,100.4517,46.58,45,0,4.99
2079582,Alyangula,AU,-13.8483,136.4192,80.6,89,40,6.91
1260777,Pālanpur,IN,24.1667,72.4333,66.56,52,0,3.11
1307741,Myitkyina,MM,25.3833,97.4,71.85,48,0,3.33
4013724,Camargo,MX,27.6667,-105.1667,78.6,15,100,17.78
2249281,Linguère,SN,15.3953,-15.1193,71.51,26,0,11.59
2449893,Tessalit,ML,20.1986,1.0114,74.61,16,47,3.11
1733432,Kota Kinabalu,MY,5.9749,116.0724,83.17,79,20,4.61
2155562,Nelson Bay,AU,-32.7167,152.15,76.12,64,75,11.5
2021618,Krasnokamensk,RU,50.0979,118.0369,18.75,92,0,3.78
1494237,Predivinsk,RU,57.0669,93.4378,14.86,91,53,9.1
3461370,Imbituba,BR,-28.24,-48.6703,71.6,73,0,9.22
5911440,Burgeo,CA,47.6167,-57.6152,23.72,92,77,9.84
1507116,Dudinka,RU,69.4058,86.1778,-20.43,87,100,7.78
1814757,Chuzhou,CN,32.3219,118.2978,59.0,54,0,1.99
6100799,Pemberton,CA,50.3164,-122.8027,39.2,65,40,2.3
2022773,Khandyga,RU,62.6667,135.6,9.34,92,100,7.83
6096551,Pangnirtung,CA,66.1451,-65.7125,-1.77,87,100,2.77
4881346,West Des Moines,US,41.572,-93.7453,64.44,55,90,9.22
1633419,Padang,ID,-0.9492,100.3543,80.6,78,20,8.05
3357247,Gobabis,NA,-22.45,18.9667,66.87,26,0,5.1
3354898,Okahandja,NA,-21.9833,16.9167,61.39,34,0,8.05
3013633,Arrondissement du Havre,FR,49.5833,0.3333,40.14,81,0,5.75
6167817,Torbay,CA,47.6666,-52.7314,25.43,86,20,19.57
176758,Kaputa,ZM,-8.4689,29.6619,64.42,78,10,2.8
3893629,Coquimbo,CL,-29.9533,-71.3436,62.6,88,75,5.75
